,댓글,작성자,작성시간
125,비고및고찰,조성환,0:32
126,:dothefive:,지원 김,0:32
127,ㅎㅇㅎㅇㅎㅇㅎㅇㅎㅇ,s,0:32
128,상수햄 길 지나가다 조심해라,큐큐,0:33
129,상수야 잘있나,사이버건달,0:33
130,방송끄라고,K.c South,0:33
131,깝쳐서 맞았겠죠,Iklr1126,0:33
132,방송꺼라,히히히헤헤,0:33
133,어그로 지렷다,이주현,0:33
134,ㅎㅇ,빙구 ㅈㅎㅈ,0:33
135,락,김민성,0:33
136,안녕하세요 형님,박시원,0:33
137,테이저건맞으니 짜릿하더냐,sjsiqk78,0:33
138,하이,제천대성,0:33
139,ㅋㅋㅋㅋㅋ,서김,0:33
140,ㅎㅇ,아이스베어,0:33
141,상수 오랜만,박박준서,0:33
142,방송꺼라 씨발,asdf df,0:33
143,ㅋ,jin naru,0:34
144,상수야 방송꺼라,허수민,0:34
145,방송 꺼라,소고기,0:34
146,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김와사비,0:34
147,ㅎㅇㅎㅇ,민정,0:34
148,ㅎㅇ상수형,정상수 팬계정,0:34
149,?,이용근,0:34
150,상수야 뭐먹노,그뤠이,0:34
151,상수야 깜빵가자,박민호,0:34
152,요즘 돈이 안 되나 보네,에하,0:35
153,ㅋㅋㅋㅋㅋㅋㅋㅋ,Kingg0dd0z,0:35
154,방송꺼라,정인서,0:35
155,상수병신,정상수이마털3가닥,0:35
156,나,김민성,0:35
157,방송꺼라,통통한공룡,0:35
158,안,2ᆢ,0:35
159,방송꺼라,테이저건맞고 오르가즘느끼는 정상수,0:36
160,그것이 알고싶다 -정상수편-,jsx oh,0:36
161,마스크나 껴라 이놈아,히힛,0:36
162,맞을짓해서 맞았겠지ㅋㅋ,이은주,0:36
163,정상수님이 나쁜짓을 했잖아요 !,강현성,0:36
164,ㅋㅋㅋㅋㅋ,진오라 팬♡,0:37
165,술쳐먹어서,경민규,0:37
166,반갑다,어둠의 정사모,0:37
167,상수 vs 전립선치료사,ABC,0:37
168,왜맞긴 왜맞아 븅신아 존나못생겼으니 맞았지,모두피,0:37
169,부산대세 정상수,박카스,0:37
170,안녕하세요 정상수님,Mr. 멍멍 DOGE,0:37
171,방송꺼라,지원,0:37
172,안녕하세요,미르스틴,0:38
173,ㅅㅂㅋㅋㅋㅋㅋ,크리스티아누호날두,0:38
174,술,오유찬,0:38
175,ㅋㅋㅋㅋㅋㅋㅋ,괄약근힘주기,0:38
176,섹스,비비누누,0:38
177,zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,깜직인직,0:38
178,방제 ㅈㄷㄴ,4 4,0:38
179,줫나게 나대서 맞은거지 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ,ᄀᄂᄃᄅ,0:38
180,유튜브다됬노,김꽤꽥,0:38
181,라이브 잘 안들어오는데 제목보고 깜짝놀라서 들어왔네요,오수범,0:38
182,안녕하세요,백빵구,0:39
183,면도하라고,NFT,0:39
184,깝쳐서 맞았겠죠,Iklr1126,0:39
185,성수야 테이저 함더 쏴주까?,유시원,0:39
186,왜긴 마 술좀 작작쳐무라,식기,0:39
187,상수야 테이저건 니 와꾸땜에 ㅂㅅ아,신태일충치충2,0:39
188,방제 개웃기네,ChanHwi,0:39
189,발광해서,광주좌파페미니스트캣맘촉법소녀,0:39
190,어그로 끌지마라 새끼야,링띠롱,0:39
191,상수야 반말해라,"류생환의 블루랜드 (K-POP vocal trainer , producer)",0:39
192,야씨발아 반갑다,ᄋᄋ,0:39
193,안녕하세요,2ᆢ,0:39
194,난동 부려서,나라기,0:39
195,마 니네 아나,김형우,0:39
196,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,최민석,0:40
197,상수야 다이꺠자,박민호,0:40
198,그게 자랑이냐?,Knjhgg,0:40
199,들아올수밖에 없게 제목을 정했네,피피피,0:40
200,방송 꺼라,고갱,0:40
201,왜그랫겠노??,정지환,0:40
202,술버릇 ㅈ같야ㅓ,조성환,0:41
203,방송 끄라고,성규형님오른팔,0:41
204,대머리라,지죤킹왕짱엠퍼러zx,0:41
205,씨방롬아,진두,0:41
206,윤지원 화이팅 해주셍,지원,0:41
207,아,SUNNY,0:42
208,상수님 게이인가요?,정상수 게이밍,0:42
209,진짜 넌 사람들한테 피해끼친거 평생 반성하며 살아라,ㅇㅇ,0:42
210,넵 해보세여,김혜린,0:42
211,저도 궁금해요,백쓕먹자했짜나,0:42
212,형님 잘계세요,소윤,0:42
213,깝쳐서 맞았겠죠,Iklr1126,0:42
214,상수님 왜 홍대에서 테이저건 맞았나요,케파종신,0:42
215,네 안녕하세여 정상숩니다~,JH,0:42
216,잘생겨서,성민,0:43
217,이새끼들ㅋㅋ 방송키자마자 끄라하네,왕Zr,0:43
218,고찰 ㅋㅋㅋㅋㅋㅋ,유도현,0:43
219,니 와꾸땜에,신태일충치충2,0:43
220,상수야 뭐먹냐고,그뤠이,0:44
221,상수 하이,기마벤,0:44
222,치트키 ㄷ ㄷ,맛다시,0:44
223,테이저건 맞고 싶어서,이연석,0:44
